valid,tmpf,relh,pressure_hpa
2008-01-01 00:03,35.6,86.59,1006.096072867657
2008-01-01 00:18,33.8,93.03,1006.773350600991
2008-01-01 00:21,33.8,93.03,1006.773350600991
2008-01-01 00:53,31.0,92.26,1008.8
2008-01-01 01:53,29.0,88.82,1010.6
2008-01-01 02:53,26.0,88.01,1012.1
2008-01-01 03:53,25.0,87.96,1013.7
2008-01-01 04:53,25.0,84.67,1015.0
2008-01-01 05:53,25.0,87.96,1016.0
2008-01-01 06:45,24.8,85.96,1015.9166000009999
2008-01-01 06:53,24.0,87.91,1017.0
2008-01-01 07:40,21.2,85.74,1017.609794334335
2008-01-01 07:53,21.0,87.75,1018.6
2008-01-01 08:53,19.0,84.27,1019.7
2008-01-01 09:31,19.4,85.63,1019.30298866767
2008-01-01 09:40,19.4,85.63,1019.30298866767
2008-01-01 09:53,19.0,84.27,1020.3
2008-01-01 10:53,20.0,81.09,1021.2
2008-01-01 11:53,20.0,81.09,1021.8
2008-01-01 12:38,19.4,85.63,1021.673460734339
2008-01-01 12:53,20.0,81.09,1022.6
2008-01-01 13:53,20.0,81.09,1023.3
2008-01-01 14:17,19.4,79.16,1022.350738467673
2008-01-01 14:38,19.4,85.63,1022.68937733434
2008-01-01 14:53,19.0,80.38,1024.0
2008-01-01 15:00,19.4,79.16,1023.028016201007
2008-01-01 15:12,19.4,85.63,1023.028016201007
2008-01-01 15:37,19.4,79.16,1023.3666550676738
2008-01-01 15:42,19.4,79.16,1023.3666550676738
2008-01-01 15:53,18.0,80.29,1024.6
2008-01-01 16:53,18.0,77.17,1024.9
2008-01-01 17:53,17.0,76.47,1024.9
2008-01-01 18:42,17.6,79.0,1024.043932801008
2008-01-01 18:53,17.0,76.47,1025.0
2008-01-01 19:05,17.6,79.0,1024.043932801008
2008-01-01 19:53,17.0,76.47,1025.5
2008-01-01 20:33,17.6,79.0,1024.721210534342
2008-01-01 20:36,17.6,79.0,1024.721210534342
2008-01-01 20:53,17.0,76.47,1026.6
2008-01-01 21:10,15.8,85.4,1025.398488267676
2008-01-01 21:22,15.8,78.84,1025.737127134343
2008-01-01 21:33,15.8,78.84,1026.07576600101
2008-01-01 21:41,15.8,78.84,1026.414404867677
2008-01-01 21:43,15.8,78.84,1026.414404867677
2008-01-01 21:53,15.0,80.05,1027.8
2008-01-01 22:53,14.0,79.96,1028.9
2008-01-01 23:00,14.0,78.68,1027.768960334345
2008-01-01 23:41,12.2,78.51,1028.446238067679
2008-01-01 23:53,13.0,76.68,1029.9
2008-01-02 00:53,11.0,76.49,1030.5
2008-01-02 01:53,10.0,75.77,1031.4
2008-01-02 02:53,8.0,75.56,1031.6
2008-01-02 03:53,7.0,76.09,1032.3
2008-01-02 04:22,6.8,78.01,1031.1553490010149
2008-01-02 04:40,6.8,78.01,1031.1553490010149
2008-01-02 04:53,6.0,75.36,1032.8
2008-01-02 05:09,6.8,71.71,1031.1553490010149
2008-01-02 05:53,5.0,79.17,1032.7
2008-01-02 06:53,4.0,79.74,1033.2
2008-01-02 07:53,4.0,75.78,1034.1
2008-01-02 08:53,3.0,78.99,1034.8
2008-01-02 09:45,3.2,77.67,1033.5258210676839
2008-01-02 09:53,2.0,79.57,1035.4
2008-01-02 10:53,2.0,79.57,1036.1
2008-01-02 11:53,2.0,79.57,1037.1
2008-01-02 12:53,1.0,78.8,1037.8
2008-01-02 13:53,2.0,75.57,1038.4
2008-01-02 14:53,3.0,78.99,1039.3
2008-01-02 15:53,6.0,75.36,1040.5
