wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
ILX,2010-06-15 17:02,2010-06-15 18:00,2010-06-15 17:02,201006151800,SV,P,W,91,NEW,,913.0614425701492,2010-06-15 17:02,,,,,False,2010-06-15 17:02,2010-06-15 17:12,70.0,0.88,,,201006151702-KILX-WUUS53-SVRILX,GOETSCH,2010
ILX,2010-06-12 20:15,2010-06-12 21:00,2010-06-12 20:15,201006122100,SV,P,W,68,NEW,,1343.441531894805,2010-06-12 20:15,,,,,False,2010-06-12 20:15,2010-06-12 20:35,60.0,1.0,,,201006122015-KILX-WUUS53-SVRILX,AUTEN,2010
ILX,2010-06-06 04:10,2010-06-06 04:45,2010-06-06 04:10,201006060445,TO,P,W,20,NEW,,407.5209018651414,2010-06-06 04:10,,,,,False,2010-06-06 04:10,2010-06-06 04:30,,,,,201006060410-KILX-WFUS53-TORILX,HJS,2010
ILX,2010-09-02 21:03,2010-09-02 22:00,2010-09-02 21:03,201009022200,SV,P,W,172,NEW,,1564.322010423993,2010-09-02 21:03,,,,,False,2010-09-02 21:03,2010-09-02 21:26,60.0,1.0,,,201009022103-KILX-WUUS53-SVRILX,BARNES,2010
ILX,2010-06-23 22:37,2010-06-23 23:30,2010-06-23 22:37,201006232330,SV,P,W,119,NEW,,1158.993458526231,2010-06-23 22:37,,,,,False,2010-06-23 22:37,2010-06-23 22:54,70.0,1.0,,,201006232237-KILX-WUUS53-SVRILX,CHURCHILL,2010
ILX,2010-06-02 06:12,2010-06-02 12:00,2010-06-02 06:12,201006021200,FF,P,W,13,NEW,,1787.300013427204,2010-06-02 06:12,00000,0,ER,OO,False,2010-06-02 06:12,2010-06-02 07:36,,,,,201006020612-KILX-WGUS53-FFWILX,GOETSCH,2010
ILX,2010-06-23 23:52,2010-06-24 04:00,2010-06-23 23:52,201006240400,FF,P,W,42,NEW,,2116.3148392881153,2010-06-23 23:52,00000,0,ER,OO,False,2010-06-23 23:52,2010-06-24 01:02,,,,,201006232352-KILX-WGUS53-FFWILX,GEELHART,2010
ILX,2010-10-25 02:38,2010-10-25 03:30,2010-10-25 02:38,201010250330,SV,P,W,177,NEW,,2192.2913927187396,2010-10-25 02:38,,,,,False,2010-10-25 02:38,2010-10-25 03:02,60.0,1.0,,,201010250238-KILX-WUUS53-SVRILX,BARNES,2010
ILX,2010-11-22 20:51,2010-11-22 21:30,2010-11-22 20:51,201011222130,SV,P,W,198,NEW,,1696.4851995346164,2010-11-22 20:51,,,,,False,2010-11-22 20:51,2010-11-22 21:10,60.0,1.0,,,201011222051-KILX-WUUS53-SVRILX,HUETTL,2010
ILX,2010-06-18 11:12,2010-06-18 11:46,2010-06-18 11:12,201006181200,TO,P,W,21,NEW,,1214.1239649028382,2010-06-18 11:12,,,,,False,2010-06-18 11:12,2010-06-18 11:20,,,,,201006181112-KILX-WFUS53-TORILX,SMITH,2010
ILX,2010-06-28 00:01,2010-06-28 06:00,2010-06-28 00:01,201006280600,FF,P,W,46,NEW,,1712.5112115320453,2010-06-28 00:01,00000,0,ER,OO,False,2010-06-28 00:01,2010-06-28 06:00,,,,,201006280001-KILX-WGUS53-FFWILX,AUTEN,2010
ILX,2010-06-06 01:32,2010-06-06 02:05,2010-06-06 01:32,201006060215,TO,P,W,13,NEW,,466.4577590507031,2010-06-06 01:32,,,,,True,2010-06-06 01:32,2010-06-06 01:38,,,,,201006060132-KILX-WFUS53-TORILX,CHURCHILL,2010
ILX,2010-04-27 03:46,2010-04-27 07:00,2010-04-27 03:46,201004270700,FF,P,W,1,NEW,,743.9970447164208,2010-04-27 03:46,00000,0,ER,OO,False,2010-04-27 03:46,2010-04-27 04:51,,,,,201004270346-KILX-WGUS53-FFWILX,CHURCHILL/JANKOWSKI,2010
ILX,2010-06-12 19:43,2010-06-12 20:15,2010-06-12 19:43,201006122015,SV,P,W,66,NEW,,541.9156144683569,2010-06-12 19:43,,,,,False,2010-06-12 19:43,2010-06-12 20:15,60.0,1.0,,,201006121943-KILX-WUUS53-SVRILX,AUTEN,2010
ILX,2010-06-06 00:32,2010-06-06 01:00,2010-06-06 00:32,201006060100,TO,P,W,9,NEW,,246.5978638116165,2010-06-06 00:32,,,,,False,2010-06-06 00:32,2010-06-06 00:40,,,,,201006060032-KILX-WFUS53-TORILX,CHURCHILL,2010
ILX,2010-05-26 20:30,2010-05-26 21:15,2010-05-26 20:30,201005262115,SV,P,W,42,NEW,,356.95410185048746,2010-05-26 20:30,,,,,False,2010-05-26 20:30,2010-05-26 20:46,60.0,1.0,,,201005262030-KILX-WUUS53-SVRILX,KELLY,2010
ILX,2010-04-24 23:46,2010-04-25 00:20,2010-04-24 23:46,201004250030,TO,P,W,5,NEW,,816.003944470704,2010-04-24 23:46,,,,,False,2010-04-24 23:46,2010-04-25 00:07,,,,,201004242346-KILX-WFUS53-TORILX,CHURCHILL,2010
ILX,2010-07-15 18:33,2010-07-16 00:30,2010-07-15 18:33,201007160030,FF,P,W,47,NEW,,1418.726655713279,2010-07-15 18:33,00000,0,ER,OO,False,2010-07-15 18:33,2010-07-15 21:11,,,,,201007151833-KILX-WGUS53-FFWILX,MILLER,2010
ILX,2010-06-14 22:01,2010-06-15 04:00,2010-06-14 22:01,201006150400,FF,P,W,22,NEW,,2598.7806306629077,2010-06-14 22:01,00000,0,ER,OO,False,2010-06-14 22:01,2010-06-15 04:00,,,,,201006142201-KILX-WGUS53-FFWILX,GOETSCH,2010
ILX,2010-04-05 00:26,2010-04-05 01:00,2010-04-05 00:26,201004050115,TO,P,W,2,NEW,,520.8727852589788,2010-04-05 00:26,,,,,False,2010-04-05 00:26,2010-04-05 00:38,,,,,201004050026-KILX-WFUS53-TORILX,SMITH,2010
ILX,2010-05-07 05:18,2010-05-07 05:50,2010-05-07 05:18,201005070600,SV,P,W,30,NEW,,792.5773875806022,2010-05-07 05:18,,,,,False,2010-05-07 05:18,2010-05-07 05:33,60.0,1.0,,,201005070518-KILX-WUUS53-SVRILX,CHURCHILL,2010
ILX,2010-06-19 02:40,2010-06-19 03:27,2010-06-19 02:40,201006190345,SV,P,W,107,NEW,,1610.7872255851817,2010-06-19 02:40,,,,,False,2010-06-19 02:40,2010-06-19 03:15,60.0,0.75,,,201006190240-KILX-WUUS53-SVRILX,AUTEN,2010
ILX,2010-06-13 20:42,2010-06-13 21:15,2010-06-13 20:42,201006132130,SV,P,W,77,NEW,,705.9145061084125,2010-06-13 20:42,,,,,False,2010-06-13 20:42,2010-06-13 21:00,60.0,1.0,,,201006132042-KILX-WUUS53-SVRILX,GEELHART,2010
ILX,2010-10-25 04:05,2010-10-25 04:45,2010-10-25 04:05,201010250445,SV,P,W,179,NEW,,917.5689609078124,2010-10-25 04:05,,,,,False,2010-10-25 04:05,2010-10-25 04:35,60.0,1.0,,,201010250405-KILX-WUUS53-SVRILX,SMITH,2010
ILX,2010-06-13 20:56,2010-06-13 21:25,2010-06-13 20:56,201006132145,SV,P,W,78,NEW,,1384.0105536726587,2010-06-13 20:56,,,,,False,2010-06-13 20:56,2010-06-13 21:13,60.0,1.0,,,201006132056-KILX-WUUS53-SVRILX,GEELHART,2010
ILX,2010-06-12 20:05,2010-06-12 20:30,2010-06-12 20:05,201006122045,SV,P,W,67,NEW,,729.0974256053646,2010-06-12 20:05,,,,,False,2010-06-12 20:05,2010-06-12 20:30,60.0,1.0,,,201006122005-KILX-WUUS53-SVRILX,AUTEN,2010
ILX,2010-06-06 02:48,2010-06-06 03:15,2010-06-06 02:48,201006060315,SV,P,W,62,NEW,,896.5463492309241,2010-06-06 02:48,,,,,False,2010-06-06 02:48,2010-06-06 03:07,60.0,0.75,,,201006060248-KILX-WUUS53-SVRILX,HJS,2010
ILX,2010-07-28 22:16,2010-07-28 22:44,2010-07-28 22:16,201007282300,SV,P,W,162,NEW,,1009.190866279988,2010-07-28 22:16,,,,,False,2010-07-28 22:16,2010-07-28 22:44,60.0,0.75,,,201007282216-KILX-WUUS53-SVRILX,BARNES,2010
ILX,2010-06-19 03:37,2010-06-19 09:30,2010-06-19 03:37,201006190930,FF,P,W,28,NEW,,1890.4855892654648,2010-06-19 03:37,00000,0,ER,OO,False,2010-06-19 03:37,2010-06-19 04:14,,,,,201006190337-KILX-WGUS53-FFWILX,BAK,2010
