wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
ILX,2017-03-07 08:17,2017-03-07 08:45,2017-03-07 08:17,201703070845,SV,P,W,22,NEW,,1302.1275627473708,2017-03-07 08:17,,,,,False,2017-03-07 08:17,2017-03-07 08:46,60.0,1.0,,,201703070817-KILX-WUUS53-SVRILX,Miller,2017
ILX,2017-03-07 04:59,2017-03-07 05:18,2017-03-07 04:59,201703070530,TO,P,W,7,NEW,,93.0937908242883,2017-03-07 04:59,,,,,False,2017-03-07 04:59,2017-03-07 05:12,,1.0,RADAR INDICATED,,201703070459-KILX-WFUS53-TORILX,Shimon,2017
ILX,2017-07-11 15:06,2017-07-11 15:45,2017-07-11 15:06,201707111545,SV,P,W,134,NEW,,1448.704355296071,2017-07-11 15:06,,,,,False,2017-07-11 15:06,2017-07-11 15:53,60.0,0.75,,,201707111506-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-02-28 21:50,2017-02-28 22:16,2017-02-28 21:50,201702282230,SV,P,W,2,NEW,,518.0889111516498,2017-02-28 21:50,,,,,False,2017-02-28 21:50,2017-02-28 21:59,60.0,1.25,,,201702282150-KILX-WUUS53-SVRILX,Shimon,2017
ILX,2017-07-24 01:51,2017-07-24 02:30,2017-07-24 01:51,201707240230,SV,P,W,146,NEW,,513.0790533135886,2017-07-24 01:51,,,,,False,2017-07-24 01:51,2017-07-24 02:26,60.0,1.0,,,201707240151-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-04-10 21:09,2017-04-10 21:25,2017-04-10 21:09,201704102200,SV,P,W,51,NEW,,850.3909183566673,2017-04-10 21:09,,,,,False,2017-04-10 21:09,2017-04-10 21:17,50.0,1.0,,,201704102109-KILX-WUUS53-SVRILX,Geelhart,2017
ILX,2017-09-04 21:21,2017-09-04 21:45,2017-09-04 21:21,201709042200,SV,P,W,155,NEW,,315.0483358401392,2017-09-04 21:21,,,,,False,2017-09-04 21:21,2017-09-04 21:45,60.0,1.0,,,201709042121-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-02-28 23:05,2017-02-28 23:30,2017-02-28 23:05,201702282330,TO,P,W,1,NEW,,496.29370311788534,2017-02-28 23:05,,,,,False,2017-02-28 23:05,2017-02-28 23:15,,1.25,RADAR INDICATED,,201702282305-KILX-WFUS53-TORILX,Shimon,2017
ILX,2017-11-18 14:20,2017-11-18 20:15,2017-11-18 14:20,201711182015,FF,P,W,29,NEW,,1373.5837035621864,2017-11-18 14:20,00000,0,ER,OO,False,2017-11-18 14:20,2017-11-18 19:23,,,,,201711181420-KILX-WGUS53-FFWILX,Auten,2017
ILX,2017-08-01 21:32,2017-08-02 01:30,2017-08-01 21:32,201708020130,FF,P,W,26,NEW,,112.80970684211653,2017-08-01 21:32,00000,0,ER,OO,False,2017-08-01 21:32,2017-08-01 22:32,,,,,201708012132-KILX-WGUS53-FFWILX,37,2017
ILX,2017-07-11 14:33,2017-07-11 15:30,2017-07-11 14:33,201707111530,SV,P,W,133,NEW,,3901.2377810130215,2017-07-11 14:33,,,,,False,2017-07-11 14:33,2017-07-11 15:01,60.0,0.75,,,201707111433-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-05-19 03:29,2017-05-19 04:03,2017-05-19 03:29,201705190430,SV,P,W,83,NEW,,1086.954196087162,2017-05-19 03:29,,,,,False,2017-05-19 03:29,2017-05-19 03:43,50.0,1.0,,,201705190329-KILX-WUUS53-SVRILX,Shimon,2017
ILX,2017-03-20 10:00,2017-03-20 10:45,2017-03-20 10:00,201703201045,SV,P,W,33,NEW,,1319.4002175777807,2017-03-20 10:00,,,,,False,2017-03-20 10:00,2017-03-20 10:33,50.0,1.25,,,201703201000-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-05-26 23:21,2017-05-26 23:45,2017-05-26 23:21,201705262345,SV,P,W,90,NEW,,148.4960666152898,2017-05-26 23:21,,,,,False,2017-05-26 23:21,2017-05-26 23:29,50.0,1.0,,,201705262321-KILX-WUUS53-SVRILX,Barker,2017
ILX,2017-05-01 01:44,2017-05-01 02:30,2017-05-01 01:44,201705010230,SV,P,W,70,NEW,,2139.956631074727,2017-05-01 01:44,,,,,False,2017-05-01 01:44,2017-05-01 01:53,60.0,0.75,POSSIBLE,,201705010144-KILX-WUUS53-SVRILX,07,2017
ILX,2017-03-20 07:52,2017-03-20 08:30,2017-03-20 07:52,201703200830,SV,P,W,30,NEW,,1111.7005606883258,2017-03-20 07:52,,,,,False,2017-03-20 07:52,2017-03-20 08:30,50.0,1.25,,,201703200752-KILX-WUUS53-SVRILX,Auten,2017
ILX,2017-07-11 01:19,2017-07-11 01:45,2017-07-11 01:19,201707110145,TO,P,W,20,NEW,,298.942130996675,2017-07-11 01:19,,,,,False,2017-07-11 01:19,2017-07-11 01:45,,0.75,RADAR INDICATED,,201707110119-KILX-WFUS53-TORILX,Geelhart,2017
ILX,2017-03-20 16:54,2017-03-20 17:45,2017-03-20 16:54,201703201745,SV,P,W,35,NEW,,537.2663785400864,2017-03-20 16:54,,,,,False,2017-03-20 16:54,2017-03-20 17:11,50.0,1.0,,,201703201654-KILX-WUUS53-SVRILX,HJS,2017
ILX,2017-03-20 07:26,2017-03-20 08:15,2017-03-20 07:26,201703200815,SV,P,W,28,NEW,,1131.4419333305082,2017-03-20 07:26,,,,,False,2017-03-20 07:26,2017-03-20 07:54,50.0,1.0,,,201703200726-KILX-WUUS53-SVRILX,Auten,2017
