wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
LOT,2020-08-03 04:20,2020-08-03 04:59,2020-08-03 04:20,202008030545,MA,P,W,42,NEW,,366.99110937253414,2020-08-03 04:20,,,,,False,2020-08-03 04:20,2020-08-03 04:52,40.0,0.75,,,202008030420-KLOT-WHUS53-SMWLOT,Carlaw,2020
LOT,2020-05-23 20:02,2020-05-23 20:45,2020-05-23 20:02,202005232045,TO,P,W,7,NEW,,740.1156389108212,2020-05-23 20:02,,,,,False,2020-05-23 20:02,2020-05-23 20:22,,2.0,RADAR INDICATED,,202005232002-KLOT-WFUS53-TORLOT,IZZI,2020
LOT,2020-05-23 23:42,2020-05-24 00:30,2020-05-23 23:42,202005240030,SV,P,W,36,NEW,,655.4536582274546,2020-05-23 23:42,,,,,False,2020-05-23 23:42,2020-05-24 00:05,60.0,1.0,,,202005232342-KLOT-WUUS53-SVRLOT,IZZI,2020
LOT,2020-05-23 20:09,2020-05-23 21:15,2020-05-23 20:09,202005232115,SV,P,W,26,NEW,,544.8981485779489,2020-05-23 20:09,,,,,False,2020-05-23 20:09,2020-05-23 20:30,60.0,1.0,POSSIBLE,,202005232009-KLOT-WUUS53-SVRLOT,Birk,2020
LOT,2020-03-29 01:53,2020-03-29 02:30,2020-03-29 01:53,202003290230,TO,P,W,1,NEW,,739.1039615363159,2020-03-29 01:53,,,,,False,2020-03-29 01:53,2020-03-29 02:03,,0.75,RADAR INDICATED,,202003290153-KLOT-WFUS53-TORLOT,Borchardt,2020
LOT,2020-01-12 04:48,2020-01-16 20:00,2020-01-12 04:48,202001162000,FL,P,W,14,NEW,,144.36455371666997,2020-01-10 16:54,OTWI2,2,ER,NO,False,2020-01-12 04:48,2020-01-11 01:58,,,,,202001101654-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-04-30 18:00,2020-05-02 22:00,2020-04-30 18:00,202005022200,FL,P,W,44,NEW,,144.36455371666997,2020-04-29 19:31,OTWI2,1,ER,NO,False,2020-04-30 18:00,2020-04-30 02:39,,,,,202004291931-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-05-15 22:30,2020-05-19 02:00,2020-05-15 22:30,202005190200,FL,P,W,74,NEW,,144.36455371666997,2020-05-15 16:58,OTWI2,1,ER,NO,False,2020-05-15 22:30,2020-05-16 01:22,,,,,202005151658-KLOT-WGUS43-FLWLOT,Petr,2020
LOT,2020-05-24 13:43,2020-05-25 14:58,2020-05-24 13:43,202005252024,FL,P,W,94,NEW,,144.36455371666997,2020-05-24 13:43,OTWI2,1,ER,NO,False,2020-05-24 13:43,2020-05-25 00:35,,,,,202005241343-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-01-12 17:00,2020-01-13 01:28,2020-01-12 17:00,202001140600,FL,P,W,11,NEW,,365.49856091231726,2020-01-10 16:14,PNTI2,2,ER,NO,False,2020-01-12 17:00,2020-01-11 01:58,,,,,202001101614-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-05-18 09:45,2020-05-19 09:00,2020-05-18 09:45,202005190900,FL,P,W,88,NEW,,365.49856091231726,2020-05-18 02:25,PNTI2,1,ER,NO,False,2020-05-18 09:45,2020-05-18 10:49,,,,,202005180225-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-05-24 00:33,2020-05-24 01:45,2020-05-24 00:33,202005240145,SV,P,W,38,NEW,,845.7263395195648,2020-05-24 00:33,,,,,False,2020-05-24 00:33,2020-05-24 00:53,60.0,1.0,POSSIBLE,,202005240033-KLOT-WUUS53-SVRLOT,Birk,2020
LOT,2020-05-23 20:50,2020-05-23 21:07,2020-05-23 20:50,202005232130,TO,P,W,9,NEW,,650.9875286881171,2020-05-23 20:50,,,,,False,2020-05-23 20:50,2020-05-23 21:07,,1.75,RADAR INDICATED,,202005232050-KLOT-WFUS53-TORLOT,IZZI,2020
LOT,2020-08-10 19:43,2020-08-10 20:18,2020-08-10 19:43,202008102045,TO,P,W,19,NEW,,626.9922929269076,2020-08-10 19:43,,,,,False,2020-08-10 19:43,2020-08-10 20:18,,1.25,RADAR INDICATED,,202008101943-KLOT-WFUS53-TORLOT,LENNING,2020
LOT,2020-05-23 19:37,2020-05-23 20:30,2020-05-23 19:37,202005232030,TO,P,W,6,NEW,,696.244984870835,2020-05-23 19:37,,,,,False,2020-05-23 19:37,2020-05-23 19:56,,1.25,RADAR INDICATED,,202005231937-KLOT-WFUS53-TORLOT,IZZI,2020
LOT,2020-07-15 21:10,2020-07-15 21:45,2020-07-15 21:10,202007152145,TO,P,W,16,NEW,,144.21220051715756,2020-07-15 21:10,,,,,False,2020-07-15 21:10,2020-07-15 21:23,,1.25,OBSERVED,,202007152110-KLOT-WFUS53-TORLOT,Kluber,2020
LOT,2020-01-12 06:00,2020-01-13 22:52,2020-01-12 06:00,202001141800,FL,P,W,12,NEW,,258.44303754826785,2020-01-10 16:14,LNRI2,2,ER,NO,False,2020-01-12 06:00,2020-01-11 01:58,,,,,202001101614-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-04-26 20:02,2020-04-27 11:12,2020-04-26 20:02,202004271245,FL,P,W,35,NEW,,258.44303754826785,2020-04-26 18:55,LNRI2,1,ER,NO,False,2020-04-26 20:02,2020-04-27 00:25,,,,,202004261855-KLOT-WGUS43-FLWLOT,,2020
LOT,2020-04-30 02:52,2020-05-02 10:26,2020-04-30 02:52,202005022034,FL,P,W,50,NEW,,258.44303754826785,2020-04-30 02:52,LNRI2,1,ER,NO,False,2020-04-30 02:52,2020-04-30 11:47,,,,,202004300252-KLOT-WGUS43-FLWLOT,,2020
