wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
LOT,2021-08-10 23:38,2021-08-11 01:00,2021-08-10 23:38,202108110100,SV,P,W,62,NEW,,1650.3791190873442,2021-08-10 23:38,,,,,False,2021-08-10 23:38,2021-08-10 23:57,60.0,0.75,,,202108102338-KLOT-WUUS53-SVRLOT,FRIEDLEIN,2021
LOT,2021-08-09 23:00,2021-08-09 23:26,2021-08-09 23:00,202108092345,TO,P,W,32,NEW,,281.6035492395953,2021-08-09 23:00,,,,,False,2021-08-09 23:00,2021-08-09 23:05,,0.0,RADAR INDICATED,,202108092300-KLOT-WFUS53-TORLOT,LENNING,2021
LOT,2021-06-21 04:15,2021-06-21 04:45,2021-06-21 04:15,202106210500,TO,P,W,5,NEW,,332.5798058885728,2021-06-21 04:15,,,,,False,2021-06-21 04:15,2021-06-21 04:26,,0.75,RADAR INDICATED,,202106210415-KLOT-WFUS53-TORLOT,FRIEDLEIN,2021
LOT,2021-06-21 05:15,2021-06-21 05:35,2021-06-21 05:15,202106210545,TO,P,W,7,NEW,,246.12337158489757,2021-06-21 05:15,,,,,False,2021-06-21 05:15,2021-06-21 05:25,,0.75,RADAR INDICATED,,202106210515-KLOT-WFUS53-TORLOT,FRIEDLEIN,2021
LOT,2021-08-12 02:43,2021-08-12 03:09,2021-08-12 02:43,202108120330,SV,P,W,81,NEW,,1102.307286690199,2021-08-12 02:43,,,,,False,2021-08-12 02:43,2021-08-12 03:01,60.0,0.75,,,202108120243-KLOT-WUUS53-SVRLOT,Petr,2021
LOT,2021-06-27 18:00,2021-06-29 08:00,2021-06-27 18:00,202106290800,FL,P,W,12,NEW,,144.36455371666997,2021-06-27 03:14,OTWI2,1,ER,NO,False,2021-06-27 18:00,2021-06-27 16:42,,,,,202106270314-KLOT-WGUS43-FLWLOT,Ogorek,2021
LOT,2021-10-26 04:54,2021-10-27 18:01,2021-10-26 04:54,202110280743,FL,P,W,30,NEW,,144.36455371666997,2021-10-25 02:16,OTWI2,1,ER,NO,False,2021-10-26 04:54,2021-10-25 09:19,,,,,202110250216-KLOT-WGUS43-FLWLOT,Kluber,2021
LOT,2021-06-27 09:45,2021-06-29 03:37,2021-06-27 09:45,202106290337,FL,P,W,6,NEW,,365.49856091231726,2021-06-26 23:55,PNTI2,1,ER,NO,False,2021-06-27 09:45,2021-06-27 02:08,,,,,202106262355-KLOT-WGUS43-FLWLOT,Birk,2021
LOT,2021-10-25 23:38,2021-10-26 14:44,2021-10-25 23:38,202110271630,FL,P,W,26,NEW,,365.49856091231726,2021-10-25 02:06,PNTI2,2,ER,NO,False,2021-10-25 23:38,2021-10-25 09:19,,,,,202110250206-KLOT-WGUS43-FLWLOT,Kluber,2021
LOT,2021-08-25 22:42,2021-08-25 23:15,2021-08-25 22:42,202108252315,SV,P,W,92,NEW,,609.5890047979125,2021-08-25 22:42,,,,,False,2021-08-25 22:42,2021-08-25 23:00,60.0,1.0,,,202108252242-KLOT-WUUS53-SVRLOT,LENNING,2021
LOT,2021-08-12 14:59,2021-08-12 18:00,2021-08-12 14:59,202108121800,FF,P,W,6,NEW,,385.84663362729583,2021-08-12 14:59,00000,0,ER,OO,False,2021-08-12 14:59,2021-08-12 15:57,,,,,202108121459-KLOT-WGUS53-FFWLOT,Carlaw,2021
