wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
LOT,2015-04-10 00:19,2015-04-10 00:45,2015-04-10 00:19,201504100045.0,TO,P,W,11,NEW,,143.77996495466184,2015-04-10 00:19,,,,,False,2015-04-10 00:19,2015-04-10 00:45,,1.0,RADAR INDICATED,,201504100019-KLOT-WFUS53-TORLOT,BMD,2015
LOT,2015-08-18 21:18,2015-08-18 22:00,2015-08-18 21:18,201508182200.0,TO,P,W,33,NEW,,267.0472901191022,2015-08-18 21:18,,,,,False,2015-08-18 21:18,2015-08-18 21:31,,0.75,RADAR INDICATED,,201508182118-KLOT-WFUS53-TORLOT,BIRK,2015
LOT,2015-06-15 15:47,2015-06-15 16:13,2015-06-15 15:47,201506151630.0,SV,P,W,69,NEW,,870.9087053506382,2015-06-15 15:47,,,,,False,2015-06-15 15:47,2015-06-15 16:02,60.0,0.75,,,201506151547-KLOT-WUUS53-SVRLOT,IZZI,2015
LOT,2015-07-14 01:00,2015-07-14 06:00,2015-07-14 01:00,201507140600.0,FF,P,W,30,NEW,,607.2971665195396,2015-07-14 01:00,00000,0,ER,OO,False,2015-07-14 01:00,2015-07-14 02:13,,,,,201507140100-KLOT-WGUS53-FFWLOT,RODRIGUEZ,2015
LOT,2015-06-15 21:50,2015-06-15 22:15,2015-06-15 21:50,201506152215.0,TO,P,W,16,NEW,,64.00534041514754,2015-06-15 21:50,,,,,False,2015-06-15 21:50,2015-06-15 22:00,,0.0,RADAR INDICATED,,201506152150-KLOT-WFUS53-TORLOT,IZZI,2015
LOT,2015-06-23 01:38,2015-06-23 02:15,2015-06-23 01:38,201506230215.0,TO,P,W,22,NEW,,805.5165136795482,2015-06-23 01:38,,,,,False,2015-06-23 01:38,2015-06-23 01:47,,0.75,OBSERVED,,201506230138-KLOT-WFUS53-TORLOT,RODRIGUEZ,2015
LOT,2015-06-20 23:55,2015-06-21 00:30,2015-06-20 23:55,201506210030.0,SV,P,W,72,NEW,,1162.3974606898182,2015-06-20 23:55,,,,,False,2015-06-20 23:55,2015-06-21 00:12,60.0,1.0,,,201506202355-KLOT-WUUS53-SVRLOT,BIRK,2015
LOT,2015-06-23 02:38,2015-06-23 03:15,2015-06-23 02:38,201506230330.0,SV,P,W,79,NEW,,2586.6620584867296,2015-06-23 02:38,,,,,False,2015-06-23 02:38,2015-06-23 02:54,60.0,0.75,,,201506230238-KLOT-WUUS53-SVRLOT,RODRIGUEZ,2015
LOT,2015-06-11 00:05,2015-06-11 00:45,2015-06-11 00:05,201506110045.0,SV,P,W,60,NEW,,632.5157720906386,2015-06-11 00:05,,,,,False,2015-06-11 00:05,2015-06-11 00:21,60.0,1.0,,,201506110005-KLOT-WUUS53-SVRLOT,RC,2015
LOT,2015-04-09 23:58,2015-04-10 00:45,2015-04-09 23:58,201504100045.0,TO,P,W,8,NEW,,720.4742113538632,2015-04-09 23:58,,,,,False,2015-04-09 23:58,2015-04-10 00:10,,2.75,OBSERVED,CONSIDERABLE,201504092358-KLOT-WFUS53-TORLOT,IZZI,2015
LOT,2015-07-13 21:59,2015-07-13 23:00,2015-07-13 21:59,201507132300.0,SV,P,W,90,NEW,,662.7482519661594,2015-07-13 21:59,,,,,False,2015-07-13 21:59,2015-07-13 22:14,70.0,1.0,,,201507132159-KLOT-WUUS53-SVRLOT,RATZER/MDB,2015
LOT,2015-09-18 21:44,2015-09-18 22:15,2015-09-18 21:44,201509182215.0,TO,P,W,37,NEW,,270.6714771241588,2015-09-18 21:44,,,,,False,2015-09-18 21:44,2015-09-18 21:56,,0.0,RADAR INDICATED,,201509182144-KLOT-WFUS53-TORLOT,BIRK,2015
LOT,2015-03-10 14:55,2015-03-12 06:00,2015-03-10 14:55,201503120600.0,FL,P,W,4,NEW,,258.4430375482678,2015-03-10 14:57,LNRI2,1,SM,NO,False,2015-03-10 14:55,2015-03-11 01:49,,,,,201503101457-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-25 23:34,2015-06-27 08:00,2015-06-25 23:34,201506270800.0,FL,P,W,54,NEW,,258.4430375482678,2015-06-24 16:15,LNRI2,1,ER,NO,False,2015-06-25 23:34,2015-06-25 03:13,,,,,201506241615-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-07-10 16:12,2015-07-11 16:00,2015-07-10 16:12,201507111600.0,FL,P,W,69,NEW,,258.4430375482678,2015-07-09 14:33,LNRI2,1,ER,NO,False,2015-07-10 16:12,2015-07-10 01:16,,,,,201507091433-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-07-12 20:34,2015-07-15 02:00,2015-07-12 20:34,201507150200.0,FL,P,W,70,NEW,,258.4430375482678,2015-07-12 03:49,LNRI2,1,ER,NO,False,2015-07-12 20:34,2015-07-12 04:07,,,,,201507120349-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-12-28 21:00,2015-12-30 21:00,2015-12-28 21:00,201512302100.0,FL,P,W,104,NEW,,258.4430375482678,2015-12-26 16:31,LNRI2,1,ER,NO,False,2015-12-28 21:00,2015-12-27 03:04,,,,,201512261631-KLOT-WGUS43-FLWLOT,ACS,2015
LOT,2015-04-10 02:08,2015-04-10 02:45,2015-04-10 02:08,201504100245.0,SV,P,W,20,NEW,,1276.4374145191314,2015-04-10 02:08,,,,,False,2015-04-10 02:08,2015-04-10 02:28,70.0,1.0,,,201504100208-KLOT-WUUS53-SVRLOT,RC,2015
LOT,2015-07-14 02:34,2015-07-14 03:15,2015-07-14 02:34,201507140315.0,SV,P,W,104,NEW,,1131.059907346507,2015-07-14 02:34,,,,,False,2015-07-14 02:34,2015-07-14 02:49,70.0,1.25,,,201507140234-KLOT-WUUS53-SVRLOT,IZZI,2015
LOT,2015-07-17 20:33,2015-07-17 21:30,2015-07-17 20:33,201507172130.0,SV,P,W,107,NEW,,974.1948303328649,2015-07-17 20:33,,,,,False,2015-07-17 20:33,2015-07-17 20:48,60.0,1.0,,,201507172033-KLOT-WUUS53-SVRLOT,ENDERLEN,2015
LOT,2015-06-13 22:11,2015-06-13 23:00,2015-06-13 22:11,201506132300.0,SV,P,W,67,NEW,,1230.0577650826365,2015-06-13 22:11,,,,,False,2015-06-13 22:11,2015-06-13 22:29,60.0,0.88,,,201506132211-KLOT-WUUS53-SVRLOT,DONOFRIO,2015
LOT,2015-03-11 23:24,2015-03-13 14:24,2015-03-11 23:24,201503131424.0,FL,P,W,5,NEW,,279.0372483294102,2015-03-11 16:40,LSLI2,1,SM,NO,False,2015-03-11 23:24,2015-03-12 02:58,,,,,201503111640-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-05-12 20:00,2015-05-15 15:00,2015-05-12 20:00,201505151500.0,FL,P,W,12,NEW,,279.0372483294102,2015-05-10 18:52,LSLI2,1,ER,NO,False,2015-05-12 20:00,2015-05-11 01:00,,,,,201505101852-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-09 12:00,2015-06-10 03:00,2015-06-09 12:00,201506100300.0,FL,P,W,24,NEW,,279.0372483294102,2015-06-08 17:00,LSLI2,1,ER,NO,False,2015-06-09 12:00,2015-06-09 03:12,,,,,201506081700-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-13 12:00,2015-06-14 06:00,2015-06-13 12:00,201506140600.0,FL,P,W,27,NEW,,279.0372483294102,2015-06-11 16:13,LSLI2,1,ER,NO,False,2015-06-13 12:00,2015-06-12 02:30,,,,,201506111613-KLOT-WGUS43-FLWLOT,WDM,2015
LOT,2015-11-28 15:45,2015-11-30 18:00,2015-11-28 15:45,201511301800.0,FL,P,W,90,NEW,,279.0372483294102,2015-11-27 17:26,LSLI2,1,ER,NO,False,2015-11-28 15:45,2015-11-28 04:41,,,,,201511271726-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-12-15 11:15,2015-12-18 00:00,2015-12-15 11:15,201512180000.0,FL,P,W,96,NEW,,279.0372483294102,2015-12-14 17:26,LSLI2,1,ER,NO,False,2015-12-15 11:15,2015-12-15 17:09,,,,,201512141726-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-12-23 03:00,2015-12-28 18:00,2015-12-23 03:00,201512281800.0,FL,P,W,99,NEW,,279.0372483294102,2015-12-22 03:06,LSLI2,1,ER,NO,False,2015-12-23 03:00,2015-12-22 17:21,,,,,201512220306-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-29 21:57,2015-06-29 22:30,2015-06-29 21:57,201506292230.0,TO,P,W,29,NEW,,311.35858275147103,2015-06-29 21:57,,,,,False,2015-06-29 21:57,2015-06-29 22:13,,0.0,RADAR INDICATED,,201506292157-KLOT-WFUS53-TORLOT,RATZER,2015
LOT,2015-06-23 03:12,2015-06-23 03:30,2015-06-23 03:12,201506230345.0,TO,P,W,26,NEW,,451.03916903701224,2015-06-23 03:12,,,,,False,2015-06-23 03:12,2015-06-23 03:21,,0.75,RADAR INDICATED,,201506230312-KLOT-WFUS53-TORLOT,RODRIGUEZ,2015
LOT,2015-12-23 16:50,2015-12-23 17:15,2015-12-23 16:50,201512231715.0,TO,P,W,39,NEW,,1205.994240326619,2015-12-23 16:50,,,,,False,2015-12-23 16:50,2015-12-23 16:59,,0.0,RADAR INDICATED,,201512231650-KLOT-WFUS53-TORLOT,BMD,2015
LOT,2015-06-23 02:28,2015-06-23 03:15,2015-06-23 02:28,201506230315.0,TO,P,W,24,NEW,,465.58774850450874,2015-06-23 02:28,,,,,False,2015-06-23 02:28,2015-06-23 02:45,,1.0,RADAR INDICATED,,201506230228-KLOT-WFUS53-TORLOT,RODRIGUEZ,2015
LOT,2015-06-07 21:11,2015-06-07 21:45,2015-06-07 21:11,201506072145.0,SV,P,W,28,NEW,,1225.0044820670823,2015-06-07 21:11,,,,,False,2015-06-07 21:11,2015-06-07 21:25,60.0,1.0,,,201506072111-KLOT-WUUS53-SVRLOT,RATZER,2015
LOT,2015-06-21 04:24,2015-06-21 05:18,2015-06-21 04:24,201506210530.0,SV,P,W,75,NEW,,1305.9652904401644,2015-06-21 04:24,,,,,False,2015-06-21 04:24,2015-06-21 04:55,70.0,0.75,,,201506210424-KLOT-WUUS53-SVRLOT,BIRK,2015
LOT,2015-06-12 23:01,2015-06-13 23:00,2015-06-12 23:01,201506132300.0,FA,P,W,1,NEW,,624.1971877306195,2015-06-12 23:01,00000,0,ER,OO,False,2015-06-12 23:01,2015-06-13 16:37,,,,,201506122301-KLOT-WGUS43-FLWLOT,BMD,2015
LOT,2015-04-10 00:36,2015-04-10 01:00,2015-04-10 00:36,201504100100.0,SV,P,W,13,NEW,,1107.7057960042014,2015-04-10 00:36,,,,,False,2015-04-10 00:36,2015-04-10 00:49,60.0,1.0,,,201504100036-KLOT-WUUS53-SVRLOT,BMD,2015
LOT,2015-09-17 23:02,2015-09-17 23:45,2015-09-17 23:02,201509172345.0,SV,P,W,140,NEW,,655.0613498385962,2015-09-17 23:02,,,,,False,2015-09-17 23:02,2015-09-17 23:28,60.0,1.5,,,201509172302-KLOT-WUUS53-SVRLOT,RATZER,2015
LOT,2015-04-10 10:00,2015-04-11 14:00,2015-04-10 10:00,201504111400.0,FL,P,W,7,NEW,,202.5666520847367,2015-04-09 20:15,DSPI2,1,ER,NO,False,2015-04-10 10:00,2015-04-10 02:18,,,,,201504092015-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-16 16:00,2015-06-17 03:00,2015-06-16 16:00,201506170300.0,FL,P,W,32,NEW,,146.91907619092115,2015-06-16 01:44,DSPI2,1,ER,NO,False,2015-06-16 16:00,2015-06-16 08:34,,,,,201506160144-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-16 00:42,2015-06-16 01:05,2015-06-16 00:42,201506160115.0,TO,P,W,18,NEW,,227.5800242448348,2015-06-16 00:42,,,,,False,2015-06-16 00:42,2015-06-16 00:54,,0.0,OBSERVED,,201506160042-KLOT-WFUS53-TORLOT,IZZI,2015
LOT,2015-08-19 01:05,2015-08-19 01:30,2015-08-19 01:05,201508190130.0,TO,P,W,36,NEW,,223.11709333913683,2015-08-19 01:05,,,,,False,2015-08-19 01:05,2015-08-19 01:14,,0.0,RADAR INDICATED,,201508190105-KLOT-WFUS53-TORLOT,BIRK,2015
LOT,2015-06-08 21:33,2015-06-08 22:15,2015-06-08 21:33,201506082230.0,SV,P,W,46,NEW,,564.4619872841319,2015-06-08 21:33,,,,,False,2015-06-08 21:33,2015-06-08 21:39,60.0,1.5,,,201506082133-KLOT-WUUS53-SVRLOT,LENNING,2015
LOT,2015-06-23 02:53,2015-06-23 03:25,2015-06-23 02:53,201506230345.0,TO,P,W,25,NEW,,646.0735490705569,2015-06-23 02:53,,,,,False,2015-06-23 02:53,2015-06-23 03:00,,1.0,OBSERVED,,201506230253-KLOT-WFUS53-TORLOT,RODRIGUEZ,2015
LOT,2015-06-13 21:32,2015-06-13 22:15,2015-06-13 21:32,201506132215.0,SV,P,W,66,NEW,,861.7606729031205,2015-06-13 21:32,,,,,False,2015-06-13 21:32,2015-06-13 21:57,60.0,1.0,,,201506132132-KLOT-WUUS53-SVRLOT,DONOFRIO,2015
LOT,2015-06-22 15:57,2015-06-22 16:30,2015-06-22 15:57,201506221630.0,SV,P,W,77,NEW,,1800.6077610516977,2015-06-22 15:57,,,,,False,2015-06-22 15:57,2015-06-22 16:10,60.0,0.75,,,201506221557-KLOT-WUUS53-SVRLOT,RC,2015
LOT,2015-06-14 18:00,2015-06-15 08:00,2015-06-14 18:00,201506150800.0,FL,P,W,29,NEW,,60.13636330638033,2015-06-14 13:56,THNI2,1,ER,NO,False,2015-06-14 18:00,2015-06-15 00:58,,,,,201506141356-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-16 09:16,2015-06-17 02:00,2015-06-16 09:16,201506170200.0,FL,P,W,43,NEW,,60.13636330638033,2015-06-16 07:19,THNI2,1,ER,NO,False,2015-06-16 09:16,2015-06-16 13:47,,,,,201506160719-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-12-29 09:00,2015-12-30 01:30,2015-12-29 09:00,201512300130.0,FL,P,W,116,NEW,,60.13636330638033,2015-12-29 01:58,THNI2,1,ER,NO,False,2015-12-29 09:00,2015-12-29 14:38,,,,,201512290158-KLOT-WGUS43-FLWLOT,wn,2015
LOT,2015-07-12 07:03,2015-07-12 16:00,2015-07-12 07:03,201507121600.0,FA,P,W,15,NEW,,3144.9707724053515,2015-07-12 07:03,00000,0,ER,OO,False,2015-07-12 07:03,2015-07-12 11:24,,,,,201507120703-KLOT-WGUS43-FLWLOT,MDB,2015
LOT,2015-07-12 01:01,2015-07-12 07:00,2015-07-12 01:01,201507120700.0,FF,P,W,28,NEW,,3144.9707724053515,2015-07-12 01:01,00000,0,ER,OO,False,2015-07-12 01:01,2015-07-12 02:33,,,,,201507120101-KLOT-WGUS53-FFWLOT,BIRK,2015
LOT,2015-04-10 00:53,2015-04-10 01:30,2015-04-10 00:53,201504100130.0,SV,P,W,14,NEW,,1054.4492347847568,2015-04-10 00:53,,,,,False,2015-04-10 00:53,2015-04-10 01:08,60.0,1.0,,,201504100053-KLOT-WUUS53-SVRLOT,BMD,2015
LOT,2015-06-10 23:35,2015-06-11 00:15,2015-06-10 23:35,201506110015.0,SV,P,W,58,NEW,,437.81616169364895,2015-06-10 23:35,,,,,False,2015-06-10 23:35,2015-06-10 23:54,60.0,1.0,,,201506102335-KLOT-WUUS53-SVRLOT,RC,2015
LOT,2015-08-02 18:54,2015-08-02 19:45,2015-08-02 18:54,201508021945.0,SV,P,W,117,NEW,,1075.7567354126654,2015-08-02 18:54,,,,,False,2015-08-02 18:54,2015-08-02 19:14,60.0,1.0,,,201508021854-KLOT-WUUS53-SVRLOT,BMD,2015
LOT,2015-06-17 14:36,2015-06-19 02:24,2015-06-17 14:36,201506190224.0,FL,P,W,44,NEW,,132.47335772965772,2015-06-17 14:07,CHBI2,1,ER,NO,False,2015-06-17 14:36,2015-06-18 01:19,,,,,201506171407-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-21 15:00,2015-06-22 13:30,2015-06-21 15:00,201506221330.0,FL,P,W,46,NEW,,132.47335772965772,2015-06-21 11:16,CHBI2,1,ER,NO,False,2015-06-21 15:00,2015-06-21 15:06,,,,,201506211116-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-06-27 06:00,2015-06-30 03:00,2015-06-27 06:00,201506300300.0,FL,P,W,57,NEW,,132.47335772965772,2015-06-27 00:17,CHBI2,1,ER,NO,False,2015-06-27 06:00,2015-06-27 01:20,,,,,201506270017-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-07-12 10:00,2015-07-15 19:30,2015-07-12 10:00,201507151930.0,FL,P,W,71,NEW,,132.47335772965772,2015-07-12 03:55,CHBI2,1,ER,NO,False,2015-07-12 10:00,2015-07-12 04:07,,,,,201507120355-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-12-29 11:08,2016-01-01 18:00,2015-12-29 11:08,201601011800.0,FL,P,W,106,NEW,,132.47335772965772,2015-12-27 02:48,CHBI2,1,ER,NO,False,2015-12-29 11:08,2015-12-27 16:58,,,,,201512270248-KLOT-WGUS43-FLWLOT,,2015
LOT,2015-03-10 14:44,2015-03-11 02:40,2015-03-10 14:44,201503110240.0,FL,P,W,3,NEW,,275.9649625927343,2015-03-10 14:44,WLMI2,2,ER,NO,False,2015-03-10 14:44,2015-03-11 02:10,,,,,201503101444-KLOT-WGUS43-FLWLOT,WDM,2015
