wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
ILX,2013-06-18 19:06,2013-06-18 19:45,2013-06-18 19:06,201306181945,SV,P,W,65,NEW,,224.5407422886464,2013-06-18 19:06,,,,,False,2013-06-18 19:06,2013-06-18 19:19,50.0,1.0,,,201306181906-KILX-WUUS53-SVRILX,GEELHART,2013
ILX,2013-06-01 04:39,2013-06-01 05:15,2013-06-01 04:39,201306010515,SV,P,W,62,NEW,,760.3796913993547,2013-06-01 04:39,,,,,False,2013-06-01 04:39,2013-06-01 05:15,60.0,0.75,,,201306010439-KILX-WUUS53-SVRILX,CHS,2013
ILX,2013-05-27 20:30,2013-05-27 21:00,2013-05-27 20:30,201305272100,SV,P,W,36,NEW,,1209.553720165362,2013-05-27 20:30,,,,,False,2013-05-27 20:30,2013-05-27 20:45,60.0,0.75,,,201305272030-KILX-WUUS53-SVRILX,GEELHART,2013
ILX,2013-05-29 05:22,2013-05-29 13:30,2013-05-29 05:22,201305291330,FA,P,W,11,NEW,,965.1672361813286,2013-05-29 05:22,00000,,,,False,2013-05-29 05:22,2013-05-29 12:43,,,,,201305290522-KILX-WGUS43-FLWILX,BAK,2013
ILX,2013-06-01 02:44,2013-06-01 03:15,2013-06-01 02:44,201306010315,TO,P,W,7,NEW,,2805.370819031368,2013-06-01 02:44,,,,,False,2013-06-01 02:44,2013-06-01 02:58,,0.75,RADAR INDICATED,,201306010244-KILX-WFUS53-TORILX,SMITH,2013
ILX,2013-05-02 19:07,2013-05-02 19:30,2013-05-02 19:07,201305021930,SV,P,W,24,NEW,,1100.11927117121,2013-05-02 19:07,,,,,False,2013-05-02 19:07,2013-05-02 19:22,60.0,1.0,,,201305021907-KILX-WUUS53-SVRILX,KMH,2013
ILX,2013-04-18 18:01,2013-04-19 06:00,2013-04-18 18:01,201304190600,FF,P,W,9,NEW,,9.97796625849136,2013-04-18 18:01,00000,,,,False,2013-04-18 18:01,2013-04-19 06:00,,,,,201304181801-KILX-WGUS53-FFWILX,BAK,2013
ILX,2013-07-06 22:01,2013-07-07 01:00,2013-07-06 22:01,201307070100,FF,P,W,56,NEW,,121.81168048179192,2013-07-06 22:01,00000,,,,False,2013-07-06 22:01,2013-07-07 01:00,,,,,201307062201-KILX-WGUS53-FFWILX,BAK,2013
ILX,2013-06-26 02:32,2013-06-26 03:15,2013-06-26 02:32,201306260315,SV,P,W,90,NEW,,823.7825717121478,2013-06-26 02:32,,,,,False,2013-06-26 02:32,2013-06-26 02:58,60.0,1.0,,,201306260232-KILX-WUUS53-SVRILX,BARNES,2013
ILX,2013-10-05 20:04,2013-10-06 01:00,2013-10-05 20:04,201310060100,FF,P,W,63,NEW,,1434.2374593968068,2013-10-05 20:04,00000,,,,False,2013-10-05 20:04,2013-10-05 20:38,,,,,201310052004-KILX-WGUS53-FFWILX,GOETSCH,2013
ILX,2013-06-18 20:22,2013-06-19 00:30,2013-06-18 20:22,201306190030,FF,P,W,38,NEW,,257.89717405260774,2013-06-18 20:22,00000,,,,False,2013-06-18 20:22,2013-06-19 00:30,,,,,201306182022-KILX-WGUS53-FFWILX,GEELHART,2013
ILX,2013-06-01 03:18,2013-06-01 09:30,2013-06-01 03:18,201306010930,FF,P,W,33,NEW,,2058.4893034119523,2013-06-01 03:18,00000,,,,False,2013-06-01 03:18,2013-06-01 09:30,,,,,201306010318-KILX-WGUS53-FFWILX,BAK,2013
ILX,2013-04-18 23:08,2013-04-19 11:00,2013-04-18 23:08,201304191100,FF,P,W,11,NEW,,2.81186660986278,2013-04-18 23:08,00000,,,,False,2013-04-18 23:08,2013-04-19 02:19,,,,,201304182308-KILX-WGUS53-FFWILX,BAK,2013
ILX,2013-11-17 16:50,2013-11-17 17:15,2013-11-17 16:50,201311171715,TO,P,W,11,NEW,,1298.3410563370749,2013-11-17 16:50,,,,,False,2013-11-17 16:50,2013-11-17 17:00,,1.0,RADAR INDICATED,,201311171650-KILX-WFUS53-TORILX,BARNES,2013
ILX,2013-06-24 20:40,2013-06-24 21:45,2013-06-24 20:40,201306242145,SV,P,W,73,NEW,,2559.6982434059187,2013-06-24 20:40,,,,,False,2013-06-24 20:40,2013-06-24 20:59,60.0,0.75,,,201306242040-KILX-WUUS53-SVRILX,SHIMON,2013
ILX,2013-06-23 17:20,2013-06-23 23:30,2013-06-23 17:20,201306232330,FF,P,W,44,NEW,,799.8919480785548,2013-06-23 17:20,00000,,,,False,2013-06-23 17:20,2013-06-23 19:21,,,,,201306231720-KILX-WGUS53-FFWILX,CHS,2013
ILX,2013-11-17 18:26,2013-11-17 19:15,2013-11-17 18:26,201311171915,TO,P,W,20,NEW,,1322.912873610078,2013-11-17 18:26,,,,,False,2013-11-17 18:26,2013-11-17 18:41,,1.0,RADAR INDICATED,,201311171826-KILX-WFUS53-TORILX,BARNES,2013
ILX,2013-11-17 16:42,2013-11-17 17:15,2013-11-17 16:42,201311171715,TO,P,W,10,NEW,,1189.449658801542,2013-11-17 16:42,,,,,False,2013-11-17 16:42,2013-11-17 16:58,,0.75,RADAR INDICATED,,201311171642-KILX-WFUS53-TORILX,BARNES,2013
ILX,2013-06-18 22:55,2013-06-18 23:30,2013-06-18 22:55,201306182330,SV,P,W,68,NEW,,437.86176482121743,2013-06-18 22:55,,,,,False,2013-06-18 22:55,2013-06-18 23:12,60.0,1.0,,,201306182255-KILX-WUUS53-SVRILX,GEELHART,2013
ILX,2013-06-25 23:27,2013-06-26 00:30,2013-06-25 23:27,201306260030,SV,P,W,85,NEW,,2126.6885484686445,2013-06-25 23:27,,,,,False,2013-06-25 23:27,2013-06-25 23:51,60.0,0.75,,,201306252327-KILX-WUUS53-SVRILX,MILLER,2013
ILX,2013-06-01 03:11,2013-06-01 03:45,2013-06-01 03:11,201306010345,TO,P,W,9,NEW,,1975.2746639704533,2013-06-01 03:11,,,,,False,2013-06-01 03:11,2013-06-01 03:20,,0.75,RADAR INDICATED,,201306010311-KILX-WFUS53-TORILX,CHS,2013
ILX,2013-07-06 20:14,2013-07-07 00:00,2013-07-06 20:14,201307070000,FF,P,W,55,NEW,,963.4364080685306,2013-07-06 20:14,00000,,,,False,2013-07-06 20:14,2013-07-07 00:00,,,,,201307062014-KILX-WGUS53-FFWILX,07,2013
ILX,2013-09-08 09:10,2013-09-08 15:00,2013-09-08 09:10,201309081500,FF,P,W,61,NEW,,994.3529888905688,2013-09-08 09:10,00000,,,,False,2013-09-08 09:10,2013-09-08 15:00,,,,,201309080910-KILX-WGUS53-FFWILX,25,2013
ILX,2013-12-22 18:00,2013-12-24 09:45,2013-12-22 18:00,201312240945,FL,P,W,59,NEW,,237.48478977408405,2013-12-22 18:00,LAWI2,,,,False,2013-12-22 18:00,2013-12-23 03:43,,,,,201312210439-KILX-WGUS43-FLWILX,Smith,2013
ILX,2013-06-25 19:56,2013-06-25 20:45,2013-06-25 19:56,201306252045,SV,P,W,80,NEW,,1206.219270122334,2013-06-25 19:56,,,,,False,2013-06-25 19:56,2013-06-25 20:17,60.0,0.75,,,201306251956-KILX-WUUS53-SVRILX,MILLER,2013
ILX,2013-06-25 21:08,2013-06-25 22:00,2013-06-25 21:08,201306252200,SV,P,W,82,NEW,,1118.72888841084,2013-06-25 21:08,,,,,False,2013-06-25 21:08,2013-06-25 21:26,60.0,0.75,,,201306252108-KILX-WUUS53-SVRILX,MILLER,2013
ILX,2013-06-18 21:08,2013-06-18 22:00,2013-06-18 21:08,201306182200,SV,P,W,66,NEW,,462.7071555142088,2013-06-18 21:08,,,,,False,2013-06-18 21:08,2013-06-18 21:27,50.0,1.0,,,201306182108-KILX-WUUS53-SVRILX,GEELHART,2013
ILX,2013-05-31 01:16,2013-05-31 02:00,2013-05-31 01:16,201305310200,SV,P,W,44,NEW,,3789.7504320623234,2013-05-31 01:16,,,,,False,2013-05-31 01:16,2013-05-31 01:27,70.0,1.0,,,201305310116-KILX-WUUS53-SVRILX,KMH,2013
ILX,2013-11-17 18:58,2013-11-17 19:30,2013-11-17 18:58,201311171930,TO,P,W,25,NEW,,756.5164253692454,2013-11-17 18:58,,,,,False,2013-11-17 18:58,2013-11-17 19:11,,0.75,RADAR INDICATED,,201311171858-KILX-WFUS53-TORILX,BAK,2013
ILX,2013-05-02 21:23,2013-05-03 00:30,2013-05-02 21:23,201305030030,FF,P,W,13,NEW,,727.9503731761033,2013-05-02 21:23,00000,,,,False,2013-05-02 21:23,2013-05-02 23:48,,,,,201305022123-KILX-WGUS53-FFWILX,KMH,2013
ILX,2013-05-02 22:50,2013-05-03 02:00,2013-05-02 22:50,201305030200,FF,P,W,14,NEW,,708.3188496425968,2013-05-02 22:50,00000,,,,False,2013-05-02 22:50,2013-05-03 00:32,,,,,201305022250-KILX-WGUS53-FFWILX,KMH,2013
ILX,2013-12-21 23:41,2013-12-22 23:41,2013-12-21 23:41,201312222341,FL,P,W,58,NEW,,126.62091612774248,2013-12-21 23:41,CLAI2,,,,False,2013-12-21 23:41,2013-12-20 16:24,,,,,201312201605-KILX-WGUS43-FLWILX,,2013
ILX,2013-09-01 01:41,2013-09-01 02:30,2013-09-01 01:41,201309010230,SV,P,W,96,NEW,,1035.689085398395,2013-09-01 01:41,,,,,False,2013-09-01 01:41,2013-09-01 02:10,60.0,0.88,,,201309010141-KILX-WUUS53-SVRILX,07,2013
ILX,2013-07-10 14:18,2013-07-10 20:30,2013-07-10 14:18,201307102030,FF,P,W,57,NEW,,1085.5856761145617,2013-07-10 14:18,00000,,,,False,2013-07-10 14:18,2013-07-10 15:57,,,,,201307101418-KILX-WGUS53-FFWILX,,2013
ILX,2013-06-24 10:12,2013-06-24 15:00,2013-06-24 10:12,201306241500,FF,P,W,48,NEW,,558.6268222495291,2013-06-24 10:12,00000,,,,False,2013-06-24 10:12,2013-06-24 12:18,,,,,201306241012-KILX-WGUS53-FFWILX,SMITH,2013
ILX,2013-06-25 21:16,2013-06-25 22:00,2013-06-25 21:16,201306252200,SV,P,W,83,NEW,,1099.7720431059674,2013-06-25 21:16,,,,,False,2013-06-25 21:16,2013-06-25 21:27,60.0,1.0,,,201306252116-KILX-WUUS53-SVRILX,MILLER,2013
ILX,2013-06-23 15:53,2013-06-23 22:00,2013-06-23 15:53,201306232200,FF,P,W,43,NEW,,926.543102955614,2013-06-23 15:53,00000,,,,False,2013-06-23 15:53,2013-06-23 17:06,,,,,201306231553-KILX-WGUS53-FFWILX,CHS,2013
ILX,2013-11-17 17:12,2013-11-17 17:45,2013-11-17 17:12,201311171745,TO,P,W,14,NEW,,904.1962461974118,2013-11-17 17:12,,,,,False,2013-11-17 17:12,2013-11-17 17:34,,1.0,RADAR INDICATED,,201311171712-KILX-WFUS53-TORILX-RRA,BARNES,2013
ILX,2013-04-11 03:30,2013-04-11 04:15,2013-04-11 03:30,201304110415,SV,P,W,9,NEW,,2956.585637032474,2013-04-11 03:30,,,,,False,2013-04-11 03:30,2013-04-11 03:54,60.0,0.75,,,201304110330-KILX-WUUS53-SVRILX,AUTEN,2013
ILX,2013-08-31 23:43,2013-09-01 00:30,2013-08-31 23:43,201309010030,SV,P,W,95,NEW,,933.1218542073616,2013-08-31 23:43,,,,,False,2013-08-31 23:43,2013-09-01 00:08,60.0,0.88,,,201308312343-KILX-WUUS53-SVRILX,07,2013
ILX,2013-06-01 03:52,2013-06-01 04:45,2013-06-01 03:52,201306010445,SV,P,W,60,NEW,,4612.284265122693,2013-06-01 03:52,,,,,False,2013-06-01 03:52,2013-06-01 04:22,60.0,0.75,,,201306010352-KILX-WUUS53-SVRILX,CHS,2013
ILX,2013-06-01 02:32,2013-06-01 03:15,2013-06-01 02:32,201306010315,SV,P,W,54,NEW,,1853.3638602731137,2013-06-01 02:32,,,,,False,2013-06-01 02:32,2013-06-01 02:48,60.0,0.75,POSSIBLE,,201306010232-KILX-WUUS53-SVRILX,SMITH,2013
ILX,2013-04-18 00:23,2013-04-18 01:00,2013-04-18 00:23,201304180100,SV,P,W,20,NEW,,160.3624388362349,2013-04-18 00:23,,,,,False,2013-04-18 00:23,2013-04-18 00:33,80.0,1.0,,,201304180023-KILX-WUUS53-SVRILX,BARKER,2013
ILX,2013-04-17 20:29,2013-04-17 21:15,2013-04-17 20:29,201304172115,SV,P,W,17,NEW,,347.4288357507932,2013-04-17 20:29,,,,,False,2013-04-17 20:29,2013-04-17 20:47,60.0,1.0,,,201304172029-KILX-WUUS53-SVRILX,BARKER,2013
ILX,2013-09-08 06:47,2013-09-08 07:30,2013-09-08 06:47,201309080730,SV,P,W,98,NEW,,1157.7463778314511,2013-09-08 06:47,,,,,False,2013-09-08 06:47,2013-09-08 07:08,60.0,0.75,,,201309080647-KILX-WUUS53-SVRILX,SHIMON,2013
ILX,2013-05-30 13:16,2013-05-31 01:30,2013-05-30 13:16,201305310130,FA,P,W,12,NEW,,963.813702759862,2013-05-30 13:16,00000,,,,False,2013-05-30 13:16,2013-05-31 01:30,,,,,201305301316-KILX-WGUS43-FLWILX,,2013
ILX,2013-06-22 20:06,2013-06-23 00:00,2013-06-22 20:06,201306230000,FF,P,W,40,NEW,,620.0860424872975,2013-06-22 20:06,00000,,,,False,2013-06-22 20:06,2013-06-22 20:49,,,,,201306222006-KILX-WGUS53-FFWILX,CHS,2013
