wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
LOT,2018-12-02 03:08,2018-12-02 03:33,2018-12-02 03:08,201812020345,TO,P,W,5,NEW,,316.00612706072314,2018-12-02 03:08,,,,,False,2018-12-02 03:08,2018-12-02 03:18,,0.75,RADAR INDICATED,,201812020308-KLOT-WFUS53-TORLOT,BMD,2018
LOT,2018-05-03 01:31,2018-05-03 02:30,2018-05-03 01:31,201805030230,SV,P,W,17,NEW,,914.7887735448068,2018-05-03 01:31,,,,,False,2018-05-03 01:31,2018-05-03 01:52,70.0,1.75,,,201805030131-KLOT-WUUS53-SVRLOT,BIRK,2018
LOT,2018-06-15 11:51,2018-06-15 14:45,2018-06-15 11:51,201806151445,FF,P,W,3,NEW,,1097.6154178412276,2018-06-15 11:51,00000,0,ER,OO,False,2018-06-15 11:51,2018-06-15 12:53,,,,,201806151151-KLOT-WGUS53-FFWLOT,DONOFRIO,2018
LOT,2018-02-20 19:02,2018-02-25 15:36,2018-02-20 19:02,201802251536,FL,P,W,5,NEW,,215.5468114209978,2018-02-19 16:37,FSMI3,3,ER,NR,False,2018-02-20 19:02,2018-02-20 03:57,,,,,201802191637-KLOT-WGUS43-FLWLOT,Izzi,2018
LOT,2018-06-26 23:53,2018-06-27 00:30,2018-06-26 23:53,201806270030,TO,P,W,3,NEW,,307.04583307087626,2018-06-26 23:53,,,,,False,2018-06-26 23:53,2018-06-26 23:55,,0.75,RADAR INDICATED,,201806262353-KLOT-WFUS53-TORLOT,BMD,2018
LOT,2018-02-21 01:30,2018-02-22 08:00,2018-02-21 01:30,201802220800,FL,P,W,34,NEW,,258.44303754826785,2018-02-20 17:59,LNRI2,1,ER,NO,False,2018-02-21 01:30,2018-02-21 02:52,,,,,201802201759-KLOT-WGUS43-FLWLOT,,2018
LOT,2018-06-22 22:36,2018-06-24 04:17,2018-06-22 22:36,201806242015,FL,P,W,79,NEW,,258.44303754826785,2018-06-21 15:34,LNRI2,1,ER,NO,False,2018-06-22 22:36,2018-06-21 20:57,,,,,201806211534-KLOT-WGUS43-FLWLOT,,2018
LOT,2018-08-02 22:54,2018-08-02 23:30,2018-08-02 22:54,201808022330,SV,P,W,50,NEW,,458.1747386172262,2018-08-02 22:54,,,,,False,2018-08-02 22:54,2018-08-02 23:16,60.0,1.0,,,201808022254-KLOT-WUUS53-SVRLOT,DONOFRIO,2018
LOT,2018-08-29 02:18,2018-08-29 03:00,2018-08-29 02:18,201808290300,SV,P,W,61,NEW,,770.9366707782806,2018-08-29 02:18,,,,,False,2018-08-29 02:18,2018-08-29 02:35,60.0,1.0,,,201808290218-KLOT-WUUS53-SVRLOT,KLUBER,2018
LOT,2018-05-14 21:00,2018-05-14 21:45,2018-05-14 21:00,201805142145,SV,P,W,27,NEW,,508.0961913708692,2018-05-14 21:00,,,,,False,2018-05-14 21:00,2018-05-14 21:15,60.0,1.0,,,201805142100-KLOT-WUUS53-SVRLOT,BMD,2018
