valid,tmpf,relh,pressure_hpa
2011-01-01 00:53,54.0,96.76,1008.0
2011-01-01 01:53,54.0,96.76,1007.4
2011-01-01 02:53,54.0,96.76,1007.3
2011-01-01 03:29,53.6,100.0,1007.789267200992
2011-01-01 03:45,53.6,100.0,1008.127906067659
2011-01-01 03:53,54.0,96.76,1008.0
2011-01-01 04:53,54.0,83.0,1007.6
2011-01-01 05:53,46.0,82.45,1008.5
2011-01-01 06:03,44.6,81.2,1008.127906067659
2011-01-01 06:24,42.8,86.99,1009.14382266766
2011-01-01 06:53,42.0,78.74,1009.3
2011-01-01 07:51,39.2,80.79,1009.8211004009939
2011-01-01 07:53,39.0,79.05,1009.9
2011-01-01 08:53,37.0,72.24,1011.0
2011-01-01 09:53,33.0,71.82,1010.8
2011-01-01 10:53,31.0,81.95,1011.9
2011-01-01 11:53,31.0,81.95,1012.2
2011-01-01 12:53,30.0,74.81,1013.4
2011-01-01 13:53,29.0,78.18,1014.5
2011-01-01 14:53,28.0,71.26,1015.3
2011-01-01 15:53,27.0,74.5,1016.2
2011-01-01 16:53,25.0,65.58,1016.3
2011-01-01 17:53,25.0,62.55,1016.5
2011-01-01 18:53,25.0,62.55,1016.5
2011-01-01 19:53,27.0,57.63,1016.4
2011-01-01 20:53,28.0,60.1,1016.9
2011-01-01 21:53,27.0,60.41,1017.9
2011-01-01 22:53,25.0,62.55,1019.1
2011-01-01 23:53,24.0,64.95,1020.2
2011-01-02 00:53,23.0,67.96,1021.1
2011-01-02 01:53,23.0,64.81,1022.0
2011-01-02 02:53,21.0,67.71,1022.6
2011-01-02 03:53,20.0,73.77,1023.2
2011-01-02 04:53,18.0,80.29,1023.1
2011-01-02 05:53,18.0,80.29,1022.9
2011-01-02 06:53,19.0,73.67,1023.1
2011-01-02 07:53,18.0,77.17,1023.6
2011-01-02 08:53,18.0,73.56,1023.9
2011-01-02 09:53,16.0,80.13,1023.8
2011-01-02 10:53,16.0,73.34,1024.3
2011-01-02 11:53,15.0,73.24,1025.1
2011-01-02 12:53,13.0,80.52,1025.5
2011-01-02 13:53,15.0,80.05,1025.6
2011-01-02 14:53,18.0,70.66,1026.2
2011-01-02 15:53,21.0,64.54,1026.8
2011-01-02 16:53,23.0,64.81,1026.7
2011-01-02 17:53,26.0,54.82,1026.1
2011-01-02 18:53,27.0,54.95,1025.3
2011-01-02 19:53,28.0,55.12,1025.0
2011-01-02 20:53,28.0,57.79,1024.6
2011-01-02 21:53,27.0,62.83,1024.9
2011-01-02 22:53,26.0,65.21,1024.9
2011-01-02 23:53,23.0,77.64,1025.0
2011-01-03 00:53,23.0,77.64,1024.3
