wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
ILX,2025-06-03 23:56,2025-06-04 00:20,2025-06-03 23:56,202506040030,TO,P,W,61,NEW,,349.0881386171111,2025-06-03 23:56,,,,,False,2025-06-03 23:56,2025-06-04 00:08,,0.75,RADAR INDICATED,,202506032356-KILX-WFUS53-TORILX,Petr,2025
ILX,2025-05-01 00:14,2025-05-01 00:45,2025-05-01 00:14,202505010045,TO,P,W,40,NEW,,372.41268690475954,2025-05-01 00:14,,,,,False,2025-05-01 00:14,2025-05-01 00:31,,1.0,RADAR INDICATED,,202505010014-KILX-WFUS53-TORILX,Erwin,2025
ILX,2025-07-11 03:29,2025-07-11 04:09,2025-07-11 03:29,202507110430,SV,P,W,169,NEW,,340.69266231504594,2025-07-11 03:29,,,,,False,2025-07-11 03:29,2025-07-11 04:00,60.0,1.0,,,202507110329-KILX-WUUS53-SVRILX,37,2025
ILX,2025-07-20 22:49,2025-07-20 23:15,2025-07-20 22:49,202507202315,SV,P,W,183,NEW,,509.22567761835927,2025-07-20 22:49,,,,,False,2025-07-20 22:49,2025-07-20 23:15,60.0,0.75,POSSIBLE,,202507202249-KILX-WUUS53-SVRILX,MJA,2025
ILX,2025-04-21 01:59,2025-04-21 02:16,2025-04-21 01:59,202504210230,TO,P,W,39,NEW,,374.6905486027539,2025-04-21 01:59,,,,,False,2025-04-21 01:59,2025-04-21 02:10,,0.75,RADAR INDICATED,,202504210159-KILX-WFUS53-TORILX,25,2025
ILX,2025-05-15 23:23,2025-05-16 00:00,2025-05-15 23:23,202505160000,SV,P,W,101,NEW,,787.1193462400927,2025-05-15 23:23,,,,,False,2025-05-15 23:23,2025-05-15 23:36,60.0,1.25,POSSIBLE,,202505152323-KILX-WUUS53-SVRILX,Geelhart,2025
ILX,2025-12-28 21:26,2025-12-28 21:47,2025-12-28 21:26,202512282200,TO,P,W,82,NEW,,278.10195841434506,2025-12-28 21:26,,,,,False,2025-12-28 21:26,2025-12-28 21:32,,0.75,OBSERVED,,202512282126-KILX-WFUS53-TORILX,Geelhart,2025
ILX,2025-03-15 04:55,2025-03-15 05:30,2025-03-15 04:55,202503150530,TO,P,W,8,NEW,,1118.6915416726758,2025-03-15 04:55,,,,,False,2025-03-15 04:55,2025-03-15 05:13,,1.0,RADAR INDICATED,,202503150455-KILX-WFUS53-TORILX,Deubelbeiss,2025
ILX,2025-04-02 20:26,2025-04-02 21:00,2025-04-02 20:26,202504022100,SV,P,W,61,NEW,,1107.480982882257,2025-04-02 20:26,,,,,False,2025-04-02 20:26,2025-04-02 20:41,60.0,1.0,POSSIBLE,,202504022026-KILX-WUUS53-SVRILX,AAT,2025
ILX,2025-08-18 22:56,2025-08-18 23:45,2025-08-18 22:56,202508182345,SV,P,W,206,NEW,,999.2900339989292,2025-08-18 22:56,,,,,False,2025-08-18 22:56,2025-08-18 23:18,60.0,0.75,,,202508182256-KILX-WUUS53-SVRILX,AAT,2025
ILX,2025-06-18 15:36,2025-06-18 16:00,2025-06-18 15:36,202506181600,SV,P,W,147,NEW,,1205.7824943143644,2025-06-18 15:36,,,,,False,2025-06-18 15:36,2025-06-18 15:48,60.0,1.0,,,202506181536-KILX-WUUS53-SVRILX,NMA,2025
ILX,2025-05-01 01:38,2025-05-01 02:15,2025-05-01 01:38,202505010215,TO,P,W,42,NEW,,315.43218814353503,2025-05-01 01:38,,,,,False,2025-05-01 01:38,2025-05-01 01:56,,1.0,OBSERVED,,202505010138-KILX-WFUS53-TORILX,25,2025
ILX,2025-09-20 20:48,2025-09-20 21:15,2025-09-20 20:48,202509202115,SV,P,W,214,NEW,,167.95591753466465,2025-09-20 20:48,,,,,False,2025-09-20 20:48,2025-09-20 21:15,50.0,1.0,,,202509202048-KILX-WUUS53-SVRILX,Geelhart,2025
